session_id,label,speed_score,vibration_score,pause_ratio,smoothness_score,gyro_std,gyro_max,gyro_range,jerk_mean,jerk_max,energy,writer_id,text_id
20260101_165012,perfect,1238.6182833911992,612.9900420368133,0.055045871559633,2.020617296253234,1683.4115780788743,16040.321567848943,15877.886965623924,154.23795516164438,2901.347625430759,4368049.793160968,p01,word01
20260101_165056,perfect,1130.165987938737,447.6604698091127,0.0265183917878528,2.5246052793002853,1191.5280086490125,8665.967170489397,8609.73550681136,128.8600960205842,2409.482807575056,2697014.155688623,p01,word01
20260101_165138,perfect,883.9515963201414,361.8839810370713,0.0158333333333333,2.4426380834661803,935.5985082803452,7462.639613434378,7333.6861334503155,116.00632650423964,1600.9808902074028,1656714.9933333334,p01,word01
20260101_165420,perfect,1051.718838597913,511.327313080003,0.0516236469608659,2.056840715599557,1332.9811283491326,11494.101661286975,11430.039191774787,159.18996367894752,2617.2886383983987,2882951.203996669,p01,word01
20260101_165451,perfect,1053.2537657124246,517.3380338316449,0.0533333333333333,2.0359101685906014,1402.2096268078456,14687.64824606036,14626.296799459647,138.10735112755893,2361.4108137276435,3075535.3325,p01,word01
20260101_165526,perfect,1050.8485989156409,459.85513346073856,0.0566194837635303,2.285173134247912,1228.4872150240722,9582.599803811072,9424.900723281096,130.4413842193099,2495.750555606839,2613463.615320566,p01,word01
20260101_165559,perfect,914.169454627501,403.39271746609336,0.0333055786844296,2.266202171679359,1040.6282053075015,7840.149871016497,7767.741307986977,130.29179410548988,2659.297797891197,1918612.8534554536,p01,word01
20260101_165637,perfect,1170.1618254250532,692.918797834523,0.1216666666666666,1.688743078400015,1922.2010490974249,16802.041810446728,16733.55823577367,166.08354729327937,3722.763939531336,5064135.570833334,p01,word01
20260101_170145,perfect,1063.794070247018,597.1094053620113,0.1043405676126878,1.7815731236397043,1685.7982348514165,15064.171998487009,14995.790714497893,130.52847843798074,3121.039446339508,3973573.512520868,p01,word01
20260101_170229,perfect,1004.0453832142676,511.8110966024035,0.0887772194304857,1.96174992671662,1396.8591817498086,14368.499051745106,14311.001225699243,132.50477439637274,3337.832137356041,2959322.7051926297,p01,word01
